,text_object,containsMention_category,weekday_category,prediction
0,rt why isn�t biden corruption trending number one on twitter? biggest world story and nowhere to be found there is no�t�,1,3,1
1,that�s disgusting their obsession with visuals is fucking gross,0,3,0
2,not me doing push ups every single night because i enjoy the pain,0,3,1
3,just woke up hope to get some even if im late<u+fa>,1,3,0
4,weather conditions from calabash nc @ pm �f humidity is pct wind mph wnw rain in high�,1,3,0
5,rt istg hes aesthetically handsome with this shot <u+fa><u+fe>,1,3,1
6,you�re an �african american � fellowdon�t you think that the key word is african american in that title? don�,0,3,0
7,looks like they�re finally going to use the abandoned queen street subway tunnels that were built between and�,0,3,1
8,rt kell some things are better left awkward,1,3,1
9,rt looting walmart to cure systemic racism,1,3,1
10,and thats on <u+f> parasocial relationships <u+f>,1,3,1
11,nice so now grafana can manage metrics trace and log i think it�s really important all of them are integrated an�,0,3,1
12,rt bih if missing you is wrong ion wanna be right,1,3,0
13,rt @gabbymain follow everyone who likes and retweet this to gain more tw�tter followers <u+fe> follow me first,1,3,1
14,that will definitely give anxiety to many ppl since covid is actually happening rn,1,3,0
15,rt four seasons with lisa,1,3,1
16,omg i can follow again,1,3,1
17,rt i�ll send $ to one person in minutes to whoever retweets and follows and myself,1,3,1
18,x its ok you can choose if you want to draw,1,3,1
19,havent eaten today can someone say skinnyyyyyyy???,0,3,0
20,rt shes got him i wonder what do you think shell do next? <u+f><u+f> sizetwitter <u+de><u+><u+a>,1,3,1
21,vera have a great day &lt,1,3,1
22,rt twt i would remember bts as the most beautiful moment in my life as a youth the seven of them reall�,1,3,1
23,plenty of results for trumpcrimefamily and trumpfamilycorruption,1,3,1
24,rt how tall are you,1,3,1
25,rt its so simple,1,3,1
26,who is harry and who cares,1,3,1
27,wipe that giz off your face,1,3,0
28,rt i�m looking forward to a future where the people know that�even in crisis�the president has their back how about you?,1,3,1
29,"rt aries imagine nasa concert ka ng i belong to the zoo tas bigla mong narinig yung lyrics na ""binibilang ang hakbang hanggang wa�",1,3,1
30,epicenter,0,3,1
31,still alive,1,3,0
32,i�m working on that puzzle right now,1,3,1
33,rt inktober inktober day shoes,1,3,1
34,huh never heard of them in all of my years but ok he looks out towards the city and sighs i wond�,1,3,1
35,rt do you have a moment? can we? salam maulidur rasul <u+fc>,1,3,1
36,rt �the privilege that it holds for the election to be a joke to you� was a deep statement,1,3,1
37,rt why isn�t biden corruption trending number one on twitter? biggest world story and nowhere to be found there is no�t�,1,3,1
38,but im doing you like i do cocaine,0,3,1
39,rt this episode is so special and so powerful thank you to my girl for opening your heart and sharing your beautif�,1,3,1
40,elijah has a message about last night�s blm assault | ep via,1,3,1
41,rt fact check the acting chief scientist who was removed had two leadership jobs one was temporary and one is still pe�,1,3,0
42,rt a bout between former rizin light heavyweight champion jiri prochazka bjp and dominick reyes is in th�,1,3,1
43,me too ,1,3,1
44,geri i pushed you into the ocean and you got dragged in by a mermaid and oops sorry but geri can�t come to the phon�,0,3,0
45,"rt ""am hungry"" ""am tire"" ""am lazy""",1,3,0
46,offline,0,3,0
47,rt society when the lakers and dodgers are both champions,1,3,1
48,and it still isn�t enough that comment thread is full of just as much hate and ignorance as the first post,1,3,0
49,rt thank you for voting taylor swift as artist of the year at the amas <u+><u+fef>,1,3,1
50,good morning gween <u+fc><u+fc>,1,3,1
51,<u+c> <u+fdd> | york announce player squad updates <u+fef><u+e> players have been released carrasco lopez vasconcellos options�,0,3,0
52,lauren is an amazing human being lauren is lit up lauren is calm lauren is strong lauren is the embodiment of co�,0,3,1
53,what is the future for vr?,0,3,1
54,rt sounds like a preemptive declaration of martian independence to me,1,3,1
55,todays almanac high of |low of |pcpn in |sn ,0,3,0
56,that was absolutely toot tastic,1,3,1
57,rt jon moxley is one bad motherfucker,1,3,0
58,rt everyone go donate to kevin mccarthy�s challenger right now before it�s too late let�s make sure she wins <u+fe>,1,3,1
59,verme,1,3,1
60,rt retweet if you can�t sleep at night but are depressed enough after reading the news to take naps per day,1,3,1
61,one of these things is not like the otherssesame street,0,3,0
62,rt <u+ff><u+fef> i vote for taehyung from bts twt for bousnidstars bousnid,1,3,1
63,he didn�t even get into gateway<u+fd><u+fd>,0,3,0
64,rt the president knew how bad this crisis would be and instead of working to protect american families he sat on the infor�,1,3,0
65,rt excellent performance from on open honest passionately caring and unafraid to do and say w�,1,3,1
66,rt love has caused me nothing but pain,1,3,0
67,rt october | a transport of jewish female prisoners left auschwitz ii birkenau camp they were transferred�,1,3,0
68,goodmornin bruhs hours of sleep shoul be enough right? at i can say i sleep,0,3,1
69,rt wealth of richest americans in $ wealth of richest americans in $ fede�,1,3,1
70,i gotta pee brb,0,3,0
71,how�s your bruised bean � alyssa ???,0,3,0
72,rt did i lie ?? pls theyre adorable <u+fa> [ got ],1,3,1
73,i just wanted to say you all so sweet i feel so happy aaaaaaaahhh &gt&lt ,0,3,1
74,<u+fb><u+fb><u+fb> darling <u+f>,1,3,1
75,yo twitchtv yall wanna just make me famous for no reason? that be great,0,3,1
76,and alma played wisconsin this weekend and now uiuc has a sudden spike in positive covid tests after r�,1,3,1
77,mbatsha thank you i�ll try this,1,3,1
78,curved under my head or holding on to something,1,3,0
79,rt do we have to set our clocks back this weekend? i dont need an extra hour of ,1,3,1
80,endsars �,1,3,1
81, twt min yoongi i vote rm of bts twt for tdyawards biggestcrush,1,3,1
82,i�ve been so ia today<u+f>,0,3,0
